,Alameda
0,RG20051877
1,RG17881790
2,HG20057168
3,HG20057175
4,HG20057138
5,HG20057133
6,RG20050771
7,RG19047015
8,RG19045416
9,RG19005315
10,RG17877051
11,RG18891825
12,RG18924920
13,HG19008400
14,RG19010635
15,HG19008400
16,RG19004104
17,RG18932289
18,RG19005700
19,RG08393815
20,HG18900038
21,RG19002261
22,RG18930929
23,RG18918336
24,RG17868081
25,RG18898140
26,HG17883338
27,RG16802978
28,RG16821530
29,RG17881790
30,RG17881790
31,RG17847475
32,RG17847475
33,RG17868081
34,RG17855988
35,RG17855360
36,RG17865179
37,RG17868081
38,RG17855360
39,RG17845139
40,RG17849540
41,RG16841023
42,RG15795527
43,RG16839499
44,RG16841023
45,RG16817298
46,RG15793782
47,RG16837906
48,RG16835591
49,RG16826722
50,R1771282
51,RG16816687
52,RG16824930
53,RG16813095
54,RG15757388
55,HG13692644
56,RG15757388
57,RG14734409
58,RG16808072
59,RP11595623
60,RG12652340
61,RG15789691
62,RG16808072
63,RP14725419
64,RG14741702
65,RG13681342
66,RG15797292
67,RG15790190
68,RG16807958
69,RG16800686
70,HG1575384
71,RG15772863
72,RG15797292
73,HG15776055
74,RG13674367
75,RG15759269
76,RG15762846
77,RG15759269
78,RG15783544
79,HG15776055
80,HG15756006
81,RG15796372
82,RG15772994
83,RG15779473
84,RG15760046
85,RG15782207
86,RG13697326
87,RG14723268
88,RG14718401
89,413CV05043PJH
90,C135095PJH
91,RG14726173
92,R1552385
93,RG14733979
94,RG14731473
95,RG15765671
96,RG14533979
97,HG1575384
98,RG11600291
99,RG15753860
100,RG14725366
101,RG14717654
102,RG13708456
103,RG13708456
104,RG13676587
105,HG13695317
106,RG14710643
107,RG13706912
108,RG13698662
109,RG13678967
110,RG13688585
111,RG13678967
112,RG12656812
113,HG13675456
114,RG13686856
115,HG13683126
116,RG13678157
117,RG11587515
118,RG12654982
119,HG12639675
120,RG12654982
121,RG12654035
122,RG12645818
123,RG10510153
124,HG12658439
125,HG12658439
126,RG12638191
127,RG12641860
128,HG10520771
129,HG10520771
130,RG12627189
131,RG11570923
132,RG12621666
133,RG11589538
134,RG12621666
135,VG08402762
136,RG11600291
137,CV113458 LB
138,HG12638565
139,RG12630227
140,RG12625924
141,RG10507894
142,RG04180582
143,RG11608535
144,RG12613080
145,RG11608353
146,HG11594916
147,RP12612653
148,RG11608188
149,RG12613080
150,HG11601842
151,RG11608988
152,RG11599130
153,RG11600291
154,RG11588554
155,BS11594725
156,RG11598129
157,RG10537233
158,RG11590505
159,RG11590505
160,HG11570933
161,RG11571578
162,HG10550800
163,RG11575544
164,RG11574844
165,RG10552005
166,RG11560258
167,RG10548567
168,RG11559883
169,RG11562911
170,RG10544055
171,RG10552062
172,RG10548299
173,RG10544162
174,RG190535619
175,RG10511868
176,RG10524944
177,RG10540591
178,RG10524944
179,RG10513460
180,RG10497411
181,RG08427955
182,VG09478780
183,RG09471635
184,VP09467290
185,VP08411859
186,RG09474437
187,RG04145564
188,HG06284318
189,HG05237216
190,RG05198958
191,HG06292825
192,HG06292836
193,RG043939
194,RG05242170
195,RG08374245
196,RG08374245
197,RP08363792
198,RG08418235
199,HG09429443
200,RG08410327
201,RG08428493
202,RG08414813
203,RG08398130
204,RG08400868
205,RG07318802
206,VG09467254
207,RG09442525
208,FG07352250
209,RG07355113
210,RG09442509
211,HG09429443
212,VG07350131
213,RG08387966
214,RG08396398
215,RG09432625
216,RG09455710
217,RG09455710
218,RG08412134
219,RG09454723
220,RG05210452
221,RG05210452
222,RG08390352
223,RG08388769
224,RG07362393
225,RG08416319
226,HG08418381
227,RG08414813
228,HG08418381
229,HG08418381
230,RG08400868
231,RG08390352
232,RG06291935
233,RG07348498
234,CGC08476191
235,RG07350181
236,RG07350181
237,RG08390352
238,RG08379128
239,RG08381780
240,RG07358723
241,RG07358723
242,RG07320387
243,RG07358723
244,RG07362393
245,RG07358840
246,RG07346831
247,RG07329705
248,RG07342387
249,RG07312513
250,RG07312513
251,RG05242170
252,VG06280796
253,RG05240793
254,HG07311913
255,RG07310827
256,HG07311913
257,AS07313430
258,RG06266561
259,RG06297379
260,RG07309030
261,WG06295350
262,HG05237216
263,RG06257051
264,HG06282989
265,RG06265761
266,RG06264919
267,WG06253941
268,RG05198958
269,RG06258930
270,RG05237703
271,RG06256743
272,RG05239000
273,RG05235711
274,RG05231004
275,RG04178023
276,HG05224235
277,RG05220703
278,RG05214868
279,RG05214868
280,RG04179405
281,HG03099067
282,C0402006
283,RG04142768
284,RG04154747
285,RG04137879
286,2002052987
287,RG04138653
288,RG03095869
289,RG03112134
290,VG03132520
291,RG03099889
292,HG03081095
293,RG03104868
294,0208020
295,RG03104868
296,WG03086417
297,RG03087483
298,2002068218
299,RG03085131
300,RG03087483
301,RG03091042
302,RG03080062
303,RG03080062
304,2002061753
305,7992357
306,2002071309
307,2002063880
308,8333959
309,02048648
310,2002054166
311,2002045374
312,2002054166
313,2001017833
314,2002063197
315,2002055115
316,2002048514
317,8324519
318,2002048514
319,2002042092
320,01033501
321,200122331
322,C004852DLJ
323,8362032
324,2001030441
325,8362032
326,0126947
327,8334138
328,8423540
329,8430258
330,H218245
331,8317564
332,H1846748
333,H1846748
334,1999065516
335,8166234
336,H1807435
337,H2070249
338,813335
