,Fresno
0,20CEC01551
1,19CECG03446
2,19CECG04593
3,19CECG04623
4,19CECG04593
5,19CECG04593
6,18CECG03766
7,
8,18CECG00080
9,18CECG04424
10,17CECG03829
11,18CECG02478
12,18CECG00631
13,18CECG00621
14,18CECG00631
15,18CECG00487
16,18CECG00078
17,18CECG00487
18,14CECG00195
19,18CECG000611
20,18CECG00474
21,14CECG00195
22,17CECG3599
23,17CECL01645
24,17CECG01970
25,12CEFL03057
26,15CECG03847
27,15CECG03847
28,17CECG00899
29,16CECDG03030
30,14CECG00098
31,16CECG00868
32,15CECG00351
33,15CECG01815
34,14CECG03660
35,15CECG00351
36,15CECG00351
37,15CECG00351
38,14ECG2919
39,14CECL03612
40,14CECG00098
41,14CECG00098
42,13CECG03578
43,13CECG03164
44,11CECG04276 JYH
45,13CECG02782
46,11CECG04395 JH
47,13CECG01551
48,113cv00758 AWIMJS
49,13CECG00801
50,09CECG02733
51,12CECG03914
52,112cv01862LJOJLT
53,12CBCG00482
54,12CECG02916
55,12CECG01466
56,12CECG00252
57,11CEG02986JH
58,10CECG03589
59,11CEG02986JH
60,10CECG04058
61,11CECG00400
62,11CECG00400
63,11CECG00058
64,10CECG02439
65,10CECG02445
66,10CECG02445
67,6058754
68,08CECG00047AMC
69,10CECG00199AMS
70,07CECG03210AMS
71,09CECG02733DRF
72,05CECG03164
73,09CECG02733DRF
74,07CECG03952AMS
75,09CECG02428
76,09CECG02428
77,08CDCG00662
78,08CECG03864DRF
79,09CECG01
80,09CEG02428DSB
81,09CECG01377
82,09CECG01377
83,CECG03952AMS
84,CECG02116AMC
85,07CECG03952AMS
86,08CECG02116AMC
87,08CECG00047AMC
88,07CECG00314
89,07CECG03369AMC
90,05CEPR00170
91,06CECG02249MWS
92,05CECG03873MWS
93,05CECG02645
94,05CECG01958DSB
95,05CECG01206MBS
96,04CECG03069MWS
97,04CECG01646HAC
98,04CECG01653
99,04CECG00850
100,04CECG00397
101,GIC821643
102,00CECG11640
103,03CECG02634MWS
104,03CECG01455HAC
105,03CECG03037
106,03CECG02634MWS
107,01CEGG04048
108,02CECG01953
109,02CECG00927
110,6522288
111,01CECG00480
112,01CECG01592
113,6419147
114,6537815
