,Marin
0,CIV1904596
1,CIV2001944
2,CIV1800820
3,CIV1800820
4,CIV1703488
5,CIV1701814
6,CIV1700963
7,CIV1700432
8,CIV1602399
9,CIV1602185
10,CIV1601664
11,CIV1504562
12,CIV1403605
13,CIV1503379
14,CIV1503379
15,CIV1501640
16,CIV1502536
17,CV1301451
18,CIV1401954
19,CIV1205335
20,CIV1403605
21,CIV1404034
22,CV1400712
23,CIV1204967
24,CIV1302893
25,CIV1303248
26,CIV1300887
27,CIV1302315
28,CIV1204833
29,CV1201675
30,CV1204967
31,CIV1203827
32,CIV1202791
33,CIV1201675
34,CIV1200895
35,CIV1105344
36,CIV1200640
37,CIV1004536
38,CV060796
39,CV013154
40,CIV1004762
41,CV081080
42,CIV1002115
43,CV034828
44,CV083071
45,CV053693
46,CV083736
47,CV084507
48,CIV091108
49,CV090327
50,CV080778
51,083071
52,CV053693
53,CV071109
54,CV065414
55,CV062813
56,CV061164
57,CV054563
58,054288
59,CV053693
60,CV054288
61,CV051119
62,CV050661
63,CV050908
64,CV051119
65,CV041504
66,CV034828
67,CV032918
68,CV032775
69,C033882
70,CV030019
71,CIV026393
72,CV025680
73,CV021303
74,CV022686
75,CV022349
76,CV022063
77,012575
78,012575
79,CV010601
80,CV010601
