,Monterey
0,20CV002113
1,20CV002113
2,16CV002776
3,19CV002691
4,16CV002776
5,19CV001523
6,18CV000871
7,18CV003821
8,18CV003825
9,18CV003821
10,18CV003825
11,18CV003107
12,17CV004079
13,M132092
14,M132092
15,M132092
16,16CV002159
17,16CV003691
18,16CV003129
19,16CV003129
20,16CV001808
21,M131283
22,M129996
23,M133331
24,M132379
25,M113154
26,M131174
27,M126778
28,DVH8250
29,M125462
30,M124192
31,M114311
32,M121704
33,M117171
34,M117744
35,M11074
36,M113884
37,M110803
38,M112896
39,M66343 consolidated with M108149
40,M105157
41,M103418
42,M107103
43,M104929
44,DVH3863
45,M66500
46,M91917
47,M87797
48,M87797
49,M97273
50,M97273
51,M85941
52,M85941
53,M84824
54,M83394
55,M77025
56,M79998
57,M77025
58,M73931
59,M66165
60,M61489
61,M6666
62,M58359
63,M51047
64,M57159
65,M56751
66,M52386
67,M48932
68,M48932
69,M51629
70,M49652
