,Placer
0,SCV0045002
1,SCV0043961
2,SCV0043182
3,SCV0043182
4,SCV0043813
5,SCV0042731
6,SCV0042481
7,SDR0055796
8,SCV0041500
9,SCV0041538
10,SCV0040278
11,SCV0039065
12,SCV0039065
13,SCV0038477
14,SCV0038477
15,SCV0038477
16,SCV0037705
17,SCV0037860
18,SCV0037860
19,SCV37860
20,SCV0037412
21,SCV0036980
22,SCV36980
23,MCV0064265
24,SCV0035781
25,SCV0035781
26,SCV0035786
27,SCV0033440
28,SCV0034629
29,SCV0034629
30,SCV0033748
31,MCV0054905
32,SCV0028740
33,SCV0030835
34,SCV0030835
35,SCV29544
36,SCV0029936
37,SCV29543
38,SCV0029093
39,SCV0028706
40,SCV28179
41,SCV0028078
42,SCV0026810
43,SCV26798
44,SCV25859
45,SCV22800
46,SCV24219
47,SCV23876
48,SCV14269
49,SCV14269
50,SCV14269
51,SCV21705
52,SCV20974
53,SCV20804
54,SCV20093
55,SCV19725
56,SCV19449
57,SCV17948
58,SCV18461
59,SCV17948
60,SCV17948
61,SCV17948
62,SCV14203
63,SCV14342
64,SCV17931
65,SCV14342
66,SCV14203
67,SCV16240
68,SCV14082
69,SCV16460
70,SCV15682
71,SCV15682
72,SCV12787
73,SCV14738
74,SCV12243
75,SCV8633
76,SCV8633
