,Sacramento
0,A26605146
1,34202000280867
2,34202000283365
3,34202000275252
4,A26605146
5,34201900266921
6,34201900264370
7,34201800234138
8,34201600194299
9,34201900270466
10,34201900264370
11,34201800234138
12,34201800232951
13,34201900257167
14,34201800241790
15,34201900256202
16,34201900256202
17,34201800244405
18,34201800230661
19,18FL01318
20,34201600203447
21,34201800246848
22,34201800242031
23,34201800236829
24,34201800235930
25,34201700216691
26,34201680002482
27,34201800237361
28,34201800236695
29,34201700223756
30,34201500187051
31,34201800228378
32,343201800229257
33,34201700221282
34,34201800227816
35,34201800227175
36,34201800227175
37,34201700223790
38,34201700223790
39,34201700222321
40,34201700210406
41,34201600191187
42,34201780002618
43,34201700213513
44,215CV01838MCEEFB PS
45,34201700213076
46,34201700206260
47,34201680002438
48,34201680002438
49,34201600198654
50,34201600189444
51,34201600194451
52,34201600194145
53,34201500185560
54,34201200125008
55,34201200118707
56,34201500187126
57,34201400166950
58,34201500179370
59,34201400166988
60,34201500184147
61,34201500177747
62,34201500186720
63,342015001848561
64,34201500187142
65,34201500182116
66,34201500179431
67,34201500177508
68,34201500182158
69,34201400164896
70,34201100107430
71,34201300156018
72,34201400158926
73,34201300155956
74,34201400167513
75,34201300153430
76,34201300155479
77,34201500177958
78,34201300155479
79,34201100114402
80,34201400173138
81,34201500179141
82,115CV00159GEBSKO
83,34201400173138
84,34201400173138
85,34201500174832
86,34201500177460CUBCGDS
87,34201400158617
88,34201400158926
89,34201400159636
90,34200900054045
91,34201400158827
92,34201400159556
93,34201200125008
94,34201300143151
95,34201300142951
96,34201300157028 CUPAGDS
97,34201300151782
98,34201200136375
99,34201300155513 CUFRDGS
100,34201300149492
101,34201200130439
102,34201300146665
103,34201300145176 CUWTGDS
104,34200900067019
105,34201300143882
106,34201200136720
107,34201200130337
108,34201300139928
109,211CV02770 TLN EFB (PS)
110,34201300138396
111,34201300139928
112,34201300139717
113,34201200136411
114,213cv00116 MCE KJN
115,213CV00238 MCEDAD
116,34201100105112 CUMCGDS
117,34201200136506
118,34201200137579
119,34201100111752
120,34201200134070
121,34201100101976
122,34201200132959
123,34201100113434
124,34201200128089
125,34200900058750 CUMMGDS
126,34201200127366
127,34201200125597 CUMCGDS
128,34200900058750
129,34201200125937
130,34201200125572
131,34201200125779
132,34201200120526
133,34201000075067
134,34201200120528
135,34201200118803
136,34200900038219
137,34201000079869CUWTGDS
138,34201100114276
139,34201100111026
140,34201100107561
141,34201100110949
142,34201000067737
143,34201100099184
144,34201100104517
145,34201100110949
146,34102200110670
147,34201100105815
148,34201100106389CUOEGDS
149,34201100105419
150,34201100104267CUPOGDS
151,34201000086964
152,34201100100433
153,34201100095803
154,34201000091233
155,34201000091048
156,34201000091048
157,34201000090304
158,34201000086964
159,34201000089555
160,3420100082738
161,06AS00839
162,34201000078158
163,34201000073294
164,34201000076097
165,34201000076740
166,34201000076740
167,34201000076097
168,34201000075573
169,35201000070207
170,34201000068641
171,34200900032536
172,34201080000452
173,34201000068913
174,05AS01337
175,07AS02435
176,07AS03971
177,07AS03505
178,02CS01098
179,05AS02687
180,34200900055133
181,34200800008447CUOEGDS
182,34200800008447CUOEGDS
183,34200800026316
184,34200900053134
185,04AS03929
186,34200800026270
187,09UD08085
188,07AS04917
189,34200800020078
190,07AS04845
191,34200800024823CUMCGDS
192,34200900044199
193,34200900032536
194,05AS03190
195,34200800002606CUOEGDS
196,34200800003616
197,34200800013077
198,34200900032536
199,34200800007488
200,34200900046504
201,34200900046504
202,3420090046562
203,34200800024793
204,34200900036890CU
205,3420090003484CUOEGDS
206,34200800020078
207,34200900038392CUOEGDS
208,34200800015215
209,34200800004715
210,34200700883505CUDFGDS
211,34200800003616
212,200800014849
213,2:08CV02428FCDCMK
214,34200700883505CUDFGDS
215,34200800005984
216,07AS03639
217,07AS02810
218,07AS01824
219,07AS00224
220,05AS03698
221,07AS00385
222,06AS03518
223,06AS03721
224,06AS02775
225,06AS05098
226,06AX02846
227,06AS02846
228,05AS01925
229,06AS03518
230,06AM08614
231,06A502736
232,06AS03504
233,06AS00076
234,05AS04740
235,06AS02736
236,05AS04789
237,05AS04789
238,05CS01530
239,05CS0153041
240,06AS00954
241,05AS05768
242,05AS05768
243,05AS05152
244,05CS01530
245,05AS05785
246,05AS01613
247,05AS01613
248,05AS01613
249,2:05CV02156GEBGGH
250,05AS04505
251,05AS04505
252,05AS03744
253,CIVS030639GEBPAN
254,CIVS041144GEBPAN
255,03AS06200
256,05AS01109
257,04AS04128
258,05AS00535
259,04AS01711
260,05AS00535
261,04AS04128
262,03AS06006
263,04AS04242
264,04AS02122
265,04AS03024
266,04AS02769
267,03AS07034
268,04AS02016
269,04AS00660
270,03AS06200
271,04PR00181
272,O4PR00181
273,02AS5703
274,02AS05703
275,03AS02282
276,02AS07578
277,03AS04824
278,03AS04882
279,03AS02411
280,03AS00845
281,03AS02107
282,03AS02282
283,03AS05478
284,03AS02411
285,03AS02411
286,02AS07817
287,03AS01867
288,03AS01867
289,03AS00845
290,02AS05245
291,02AS05245
292,02AS07973
293,01AS07268
294,02AS06902
295,02AS07967
296,02AS06902
297,02AS05916
298,
299,02AS05916
300,02AS06110
301,02AS05254
302,02AS02159
303,02AS00065
304,02AS02159
305,01AS07654
306,02AS02509
307,02AS00065
308,01AS07268
309,01AS06882
310,01AS03050
311,01AS00480
312,00AS01789
313,00AS04943
314,CIVS001005LKKDAD
315,00AS00712
316,00AS03053
317,CIVS001005LKKDAD
318,99ASO5919
