,San Bernardino
0,CIVDS2009385
1,CIVDS1937194
2,CIVDS1909602
3,CIVDS1904434
4,CIVDS1915689
5,CIVDS1806348
6,CIVDS1823603
7,CIVDS1831592
8,CIVDS1902311
9,CIVDS1827619
10,CIVDS1612496
11,CIVDS1819144
12,CIVDS1807004
13,CIVDS1819080
14,CIVDS1810241
15,CIVDS1811363
16,CIVDS1813316
17,CIVDS1811363
18,CIVDS1718184
19,CIVDS1802215
20,CIVDS1611475
21,CIVDS1718126
22,UDFS1705623
23,CIVDS1711415
24,CIVDS1711415
25,CIVDS1703188
26,CIVDS1621339
27,CIVDS1705434
28,CIVDS1701406
29,CIVDS1616163
30,CIVDS1616168
31,CIVDS1615867
32,CIVDS1621339
33,CIVDS1614205
34,CIVDS1518292
35,CIVDS1606553
36,CIVDS1411572
37,CIVDS1518292
38,CIVDS1506737
39,CIVDS1503766
40,CIVDS1518292
41,CIVDS1508904
42,CIVDS1514182
43,CIVDS1514182
44,CIVDS1514182
45,CIVDS1514182
46,CIVDS1407512
47,CIVDS1513975
48,CIVDS1507866
49,CIVDS1514799
50,CIVDS1600009
51,CIVDS1513975
52,CIVDS1511070
53,CIVDS1510611
54,CIVDS1313010
55,CIVDS1400982
56,CIVDS1411572
57,CIVDS1417735
58,CIVDS1509173
59,CIVRS1304623
60,CIVRS1304623
61,CIVDS1407062
62,CIVDS1415075
63,CIVDS1501669
64,CIVDS1503994
65,CIVDS1503221
66,CIVDS1408373
67,CIVDS1408373
68,CIVDS1404475
69,CIVDS1313993
70,1402235
71,PROPS1300719
72,CIVRS1307201
73,CIVRS1307201
74,CIVDS1315285
75,CIVRS1307787
76,CIVDS915870
77,CIVRS1300634
78,CIVVS 1301640
79,CIVRS 1304204
80,CIVRS1202921
81,CIVRS1300835
82,CIVRS1300835
83,CIVRS1301433
84,CIVDS1213320
85,CIVRS1300234
86,CIVRS1208452
87,CIVMS1100605
88,CIVVS1007799
89,CIVDS1005409
90,CIVVS1202699
91,CIVRS1203310
92,CIVDS 1003425
93,CIVRS1203678
94,CIVDS1206008
95,CIVRS1204201
96,CIVDS1113974
97,CIVMS1100674
98,CIVDS1205680
99,CIVDS1201383
100,CIVDS1202845
101,CIVDS1005409
102,CIVVS1106272
103,CIVRS1108080
104,CIVRS1111075
105,CIVDS1200287
106,CIVRS1200203
107,CIVRS1200203
108,CIVVS1103009
109,CIVVS1103009
110,CIVDS1104802
111,CIVRS1100197
112,CIVDS1104802
113,CIVRS1103414
114,CIVRS1103172
115,CIVDS1015433
116,CIVDS915176
117,CIVDS1016960
118,CIVRS1102633
119,CIVRS906194
120,CIVDS1011673
121,CIVVS1008087
122,CIVDS1007327
123,CIVRS1008916
124,CIVRS907521
125,CIVVS801912
126,CIVSS800216
127,CIVSS800216
128,CIVVS802709
129,CIVRS1005528
130,CIVDS917057
131,CIVRS1001649
132,CIVRS1000767
133,CIVDS915284
134,CIVDS1000868
135,CIVDS911125
136,CIVSS702355
137,CIVSS705138
138,CIVBS800977
139,VCIVS041381
140,CIVSS815253
141,CIVSS815452
142,CIVVS902092
143,CIVDS904195
144,CIVDS904195
145,CIVMS800934
146,CIVSS803920
147,MCVMS08151
148,CIVSS704579
149,MCVMS08151
150,RPRRS02857
151,CIVSS803920
152,CIVVS801207
153,CIVVS703287
154,CIVRS800469
155,CIVRS704061
156,BCV08321
157,CIVSS702355
158,CIVVS701038
159,RCV101928
160,VCVVS045677
161,SCVSS148393
162,RPRRS02857
163,VCVVS043699
164,SCVSS125321
165,SCVSS145147
166,BCV09497
167,BCV09497
168,SCVSS144781
169,VCVVS042957
170,RCV090723
171,SCVSS135249
172,SCVSS136861
173,VCVVS040902
174,RCV092813
175,RCV092593
176,RCV092813
177,VCVVS040902
178,RCV092365
179,VCVVS040465
180,RCV083894
181,BCV08816
182,BCV08816
183,RCV092365
184,SCVSS129158
185,BCI12755
186,RCV090550
187,SCVSS125321
188,SCVSS125321
189,SVSS127609
190,VCVVS037421
191,RCV084965
192,SCVSS121914
193,SCVSS091015
194,BBC00728
195,VCVVS035773
196,VCVVS036421
197,RCV081071
198,RCV080904
199,BCV07651
200,BBC00650
201,SCVSS099096
202,SVCSS099484
203,RCV077034
204,SCVSS091015
205,RCCI076341
206,RCV071200
207,RCV077874
208,SCVSS099484
209,VCVVS031981
210,CVVVS031981
211,SCVSS103281
212,VCVVS031981
213,SCVSS100415
214,VCVVS031981
215,SCVSS103266
216,RCV071200
217,VCVVS024507
218,BBC00616
219,RCV063310
220,SCVSS102337
221,RCV070186
222,VCVVS024998
223,SCVSS085711
224,VCVVS027110
225,VCVVS023537
226,RCV064182
227,SCISS095543
228,SCVSS081078
229,RCV064182
230,VCVVS027110
231,SCVSS082069
232,RCV063236
233,VCVVS026815
234,SCVSS089169
235,SCVSS079563
236,SCVSS58017
237,RCV055575
238,SCVSS079563
239,SCVSS57711
240,RCV057166
241,VCV017831
242,RCV053682
243,VCIVS022221
244,SCVSS068052
245,SCVSS74557
246,RV047544
247,RCV047544
248,RCV047544
249,SCVSS64216
250,RCV048157
251,VCVVS020317
252,VCVVS020317
253,SCV55721
254,SCVSS58975
255,RCV31295
256,E022536
