,San Luis Obispo
0,20CV0237
1,18LC1099
2,18LC1099
3,18CV0243
4,17CV0592
5,17CV0457
6,17CV0457
7,17CV0457
8,17CV0328
9,16CV0179
10,16CV0166
11,15CV0154
12,14CV0211
13,14CV0636
14,14CV0009
15,CV130156
16,CV130237
17,CV130145
18,CV128304
19,CV110732
20,CV110676
21,CV110123
22,CV110525
23,CV100325
24,CV090103
25,CV100197
26,CV090232
27,CV050498
28,CV031134
29,CV080374
30,CV088038
31,CV080374
32,CV080491
33,LC080153
34,CV060107
35,CV080389
36,CV060802
37,CV050606
38,CV050606
39,CV060477
40,CV060477
41,CV050606
42,CV060107
43,CV060107
44,CV030379
45,CV031134
46,CV030209
47,CV021223
48,CV021201
49,CV030209
50,CV020781
51,CV010368
52,CV010368
53,CV010368
54,CV001092
55,CV000161
56,CV000161
57,CV000380
58,CV000052
