,Ventura
0,56201900536198
1,56201900535769
2,56201900527392
3,562019005298
4,56201900529610
5,56201800517938
6,56201900526822
7,56201800519301
8,56201800515450
9,56201800517664
10,56201800515474
11,56201800519772
12,56201700502383
13,562091800510717
14,56201800510717
15,56201800508550
16,56201700504137
17,56201800509161
18,56201800509162
19,56201800509158
20,56201800509898
21,56201800509014
22,56201700502383
23,56201300445029
24,56201800506466
25,56201800506466
26,T56201700502390
27,56201700503274
28,56201600482273
29,56201600489638CUPAVTA
30,56201600482273CUORVTA
31,56-2015-00474418
32,56201600490376CUWMVTA
33,56201600482233CUWTVTA
34,56201600486775CUWMVTA
35,56201600485056CUWMVTA
36,56201600483981CUPOVTA
37,56201600481997CUPOVTA
38,56201200421674CUHRVTA
39,56201600478277CUDFVTA
40,56201500467237CUDFVTA
41,56201400459989PRTROXN
42,56201500470126CUDFVTA
43,56201500466945CUBCVTA
44,56201500465734CUPNVTA
45,56201500470126CUDFVTA
46,56201500465734CUPNVTA
47,56201400452585PRTROXN
48,56201500471364CUWTVTA
49,56201500465734CUPNVTA
50,56201400459886
51,56201400452270
52,56201400453855CUATVTA
53,56201400448230CUDFVTA
54,56201400458896CLENVTA
55,BC56201400459886CUDFVTA
56,56201200421674CUMCVTA
57,56201400459886CUDFVTA
58,2057187
59,56201400448497
60,562014459182CUPNVTA
61,56201400454064CUPOVTA
62,56201400452270CUNPVTA
63,56201400450239CUBCVTA
64,56201400450006CUNPVTA
65,56201400450006CUNPVTA
66,56201300441980 CUBTVTA
67,56201300439922 CUCOVTA
68,56201300440433 CUFRVTA
69,56201300440905 CUDFVTA
70,56201300437970 CUBCVTA
71,56201300434349 CUORVTA
72,56201200423401 CUMCVTA
73,56201200427968 CUBTVTA
74,56201200421496 CUNPVTA
75,56201200429252 CUPOVTA
76,56201100391657 CUBCSIM
77,56201200427476 CUPOVTA
78,56201200429127 CUCRVTA
79,56201100401908 CUORVTA
80,56201200414830 CUDFVTA
81,56201200427439 CUDFVTA
82,56201200427968 CUBTVTA
83,56201200423401 CUMCVTA
84,56201200425343 CUNPVTA
85,56201200425270 CUPAVTA
86,56201200414736 CUBCVTA
87,56201200418245 CUDFVTA
88,56201200414390CUNPVTA
89,SD037475
90,"56201100399085""CUFRSIM"
91,56-2011-00393964-cu-df-vta
92,56201100390155CUCOVTA
93,56201100396253CUICVTA
94,5620080033537CUBCVTA
95,56201100393964CUDFVTA
96,56201100397085CUDFVTA
97,56201100400912CUBTVTA
98,56201100397651CUMCVTA
99,56201100394264CUDFVTA
100,56201000382899CUDFVTA
101,56201000385046CUWEVTA
102,56201000387289CUNPVTA
103,56201000377807CUPOVTA
104,56201000369624CUORVTA
105,D318237
106,56201000370757CUCDVTA
107,56201000370757CUCDVTA
108,56201000374824CUDFSIM
109,56201000372462CUNPVTA
110,56200900360039CUDFVTA
111,56200900355857CUFRVTA
112,SC039997
113,SC043611
114,56200900363817CUFRVTA
115,56200900360743CUOESIM
116,56200900363918CUDFSIM
117,SC043611
118,CIV239780
119,CIV243771
120,CIV233474
121,56200800317452CUBCVTA
122,56200800332181CUPOVTA
123,56200800332806CUCOVTA
124,CIV247084
125,56200800326361CUNPVTA
126,SC039583
127,56200800418CUCOSIM
128,56200700307920CUORSIM
129,56200800330493CUMCVTA
130,SC046373
131,56200800328962CUDFVTA
132,56200800318635CUBTSIM
133,CIV245795
134,56200800319869CUBCSIM
135,56200800319869CUBCSIM
136,CIV247084
137,SC046373
138,SC047965
139,56200700285758CUPOVTA
140,CIV239780
141,SC047965
142,SC044280
143,SC044280
144,SC048868
145,CIV246173
146,0107125MMM(AJWx)
147,SC042432
148,CIV244189
149,SC046398
150,CIV240173
151,CIV243771
152,SC040178
153,CIV270786
154,CIV242133
155,SC045330
156,CIV240173
157,CIV236364
158,CIV238658
159,CIV238658
160,SC045617
161,226263
162,CIV226263
163,CIV236364
164,CIV234358
165,CIV234358
166,CIV217662
167,CIV229468
168,CIV229468
169,CIV227911
170,CIV220454
171,SC034939
172,CIV225767
173,CIV224660
174,SC038560
175,CIV220034
176,CIV222466
177,CIV220034
178,CIV203170
179,CIV218371
180,CIV216705
181,SC031212
182,SC030545
183,SC031212
184,CIV215900
185,CIV215900
186,SC031293
187,SC030545
188,SC029906
189,CIV200803
190,CIV200003
191,CIV192900
